Yoruba	Nupe	English
Ẹ káàárọ̀ dọ́kítà, ara mi ò yá.	Kube lazhin dokita, nakan ji mi yan.	Good morning doctor, I am not feeling well.
Pẹ̀lẹ́. Wá jókòó síbí.	Oku. Fedun shi a bo.	Sorry. Please sit here.
Báwo ló ṣe ń ṣe ọ́ gan-an ní pàtó?	Ki yi ena e ji we 'tso gangan yi na o?	What exactly is wrong with you?
Orí ń fọ́ mi, ara mi ń gbóná, mi ò lágbára, mi ò sì tún lè jẹun.	Eti e san mi, nakan min e wona, mi e wo to 'ebo, eginci ma ye gi a.	I have a headache, I feel hot, I am weak, and I can't eat.
Látí ìgbà wo ló ti ń ṣe ọ́ báyìí? 	Tun dagan foci n ya o?	How long have you been feeling this way? 
Láti ọ̀sán àná nígbàtí mo ti ọjà dé.	Tun dagan tuwo ro na mi zhin dzuko na.	Since yesterday afternoon when I returned from the market.
Ǹjẹ́ ẹ̀fọ́rí àti ara gbígbóná nìkan ló ń ṣe ọ́?	Etisan be nakan nawo gbugi ga o ko?	Is it just the headache and fever that you have?
Rárá dọ́kítà. Ó dàbí i pé mo fẹ́ bì, ọ̀nạ̀-ọ̀fun sì tún ń dùn mí.	Haha dokita. Egban e gun mi, to bere ma'e tan mi.	No doctor. I also feel like vomiting, and my throat hurts.
Pẹ̀lẹ́. La ẹnu rẹ, jẹ́ kí n yẹ̀ ọ́ wò.	Oku. Pe emi we, lugwa mi n cin un le.	Sorry. Open your mouth, let me check.
Ó dàbí pé o fẹ́ ní Ibà díẹ̀, ṣùgbọ́n a ó ṣe àyẹ̀wò ẹ̀jẹ̀ kí a tó lè mọ̀ ní pàtó.	Mi e cin un le gan iba e jin wo yo, ama yi a jin tsuwandan bedzo.	It seems you have a bit of malaria, but we will run a blood test to confirm.
Jẹ́ kí n wo bí ara rẹ ṣe gbóná sí.	Lugwa min cin nakan nawo wo le de.	Let me check how high your temperature is.
Ǹjẹ́ o ti lo òògùn kankan?	Wo ma lo cigbe ndoro a ni?	Have you taken any medication?
Bẹ́ẹ̀ni dókítà, mo lo òògùn ẹ̀fọ́rí àti ara ríro.	Eba dokita. Mi lo cigbe yan nakan tan.	Yes doctor, I took some headache and body ache medicine.
Ta ló sọ fún ọ wí pé kó o lò ó?	Zhi gangan wo 'lo won?	Who told you to take it?
Kò s’ẹ́nì kankan, mo kàn lò ó fúnra mi náà ni.	Zan doro gan, mi tso loyan mi o.	No one, I just took it on my own.
Kílódé tó o fi lò ó?	Ki la wo ci lo won o?	Why did you take it?
Torípé orí ń fọ́ mi.	Ebo etisan o.	Because I had a headache.
Má ṣe yọ araà rẹ lẹ́nu	Ka jin damuwa ma.	Don't worry yourself
Ṣó o fẹ́ kí ara rẹ tètè yá?	We e wa lafiya be egwa tso e ya rayi we ko?	Do you want to get well quickly?
Ẹ káàárọ̀ dọ́kítà	Kube lazhin dokita.	Good morning doctor
Ojú ẹ funfun, ohùn rẹ sì yàtọ̀ sí ti tẹ́lẹ̀	Eye wo n na a shi zhiko degi, bere we ma a peri.	Your eyes are pale, and your voice is different from before.
Bẹ́ẹ̀ni dókítà, ara mi ń gbóná, ọ̀nạ̀-ọ̀fun sì ń dùn mí	Acin ga o dokita. Nakan mi e wona, to bere ma e tan mi.	Yes doctor, I feel hot, and my throat hurts.
 Ẹ̀ẹ̀mẹta lójúmọ́ lo ma lò ó lẹ́yìn tí o bá jẹun tán.	Zuguta foni wa 'lo won, wo ga eginci gi dzo na.	You should take it three times a day after meals.
Àárọ̀, ọ̀sán, alẹ́ lo máa lò ó lẹ́yìn tí o bá jẹun tán.	Wo ga lo lazhin, wa ke u ye lo igidi to yeshi, wo ga eginci gi zho na.	Morning, afternoon, and night you will take it after meals.
